インドで本場のカレーなんか食いたいな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ははっ、失礼ですけど、カレーじゃなくてカリーです！　　　　　　　　　　　　　　　　　　　　　　　　　
チェリーパイをお母さんがよく作るんですよね　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_欧米か！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
腕、伸びますよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ルフィか！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
焦げてる肉が一番うまいんだよな　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_いつか死ぬぞ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 
上上下下左右左右BA、スタート　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_コナミコマンドか！　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
棺桶は氷を入れた発泡スチロールでよろしかったですか？　　　　　　　　　　　　　　　　　　　　　　　　_魚かよ、非常識だろ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ステンレス製の棺桶にしますか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_燃えづらいわ、生焼けなんだろ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
夜逃げしているところすみません　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_してねーよ。ただ運転してるだけじゃねーか　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
卵を産みに行くんですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ウミガメか、俺は。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
変な髪形！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_やかましーわ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ヒーヒーフー　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ラマーズ法かよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
乗るなら乗るな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_何も乗ってねーじゃねーか。飲むなら乗るな、ね！　　　　　　　　　　　　　　　　　　　　　　　　　　　
飲むなら…飲むな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_何にも飲んでもねー。乗るなら飲むな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
あの式場の予約ってここでいいのかな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_はい。えっと、出所祝いですね。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
今度俺結婚する予定なんだけどー。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_相手がいないの？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
うちで式を挙げたほとんどの方がリピーターになります。　　　　　　　　　　　　　　　　　　　　　　　　_ダメじゃねーかよ。それ。ここで結婚式挙げた奴、必ず別れるって言ってんだよ　　　　　　　　　　　　　　
えー、式は何月の13日の金曜日ですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_なんで13日の金曜日限定なんだよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
当日は、日本刀持参でお願いします。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_日本刀持ってねーよ。八つ墓村か　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
頭にろうそくを刺して、走りながらのキャンドルサービスになります。　　　　　　　　　　　　　　　　　　_八つ墓村じゃん！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
鬼嫁の手紙を黙読　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_花嫁だわ、お前、あとそれ一人で読んでるやん　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
菊の花束を贈呈します　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_生きてるわ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
話聞かなくいいんで、保険も入らなくていいです　　　　　　　　　　　　　　　　　　　　　　　　　　　　_じゃあ帰れよ！無駄な時間やん　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
1分だけ！120秒！180秒！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_増えてんなぁ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
今日途中で事故にあいますよね？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_決めつけてんじゃねえよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
近々、保険金殺人の予定とかはないですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_ねぇよ！あっても言うかよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
先生はお前に何か隠してるんじゃないのか。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_しらねーよ、それは。お前次第だろ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
お前が何をしようとしてるかなんか全部お通しだ！　　　　　　　　　　　　　　　　　　　　　　　　　　　_なんだお通しって。ほうれんそうのお浸しか、俺は。　　　　　　　　　　　　　　　　　　　　　　　　　　
昼休みになればなるほど。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_昼休みは1回しかこねーわ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
音程という鳥かごに囚われたくないんです。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_そもそもカラオケBOXにおるし。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
最近はさ、坂道上っただけで足こんな震えてんのよ。　　　　　　　　　　　　　　　　　　　　　　　　　　_いや、生まれたての小鹿か。震えすぎやろ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
僕が新郎新婦に出会ったのは今日が初めてではありません。　　　　　　　　　　　　　　　　　　　　　　　_当たり前だろ！お前友人代表だろ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
これからは人生のパートタイマーとして。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_パートナー！パートタイマー？！なんで一緒にいる時間、時給発生するんだよ。　　　　　　　　　　　　　　
結婚には大事な袋が108つあります。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_多すぎるわ！3つて言われてるわ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
まぁ、なんとなく、2で力を合わせて　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_なんとなくってなんだ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
さぁ時刻は深夜1時。今日も始まりました。真夜中のミッドナイト！　　　　　　　　　　　　　　　　　　　_どんなタイトルだよ。真夜中の真夜中じゃねーかよ　　　　　　　　　　　　　　　　　　　　　　　　　　　
さぁ、時刻は深夜1時1分　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_毎分やんの？これ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ちょっと大島さん！大島さんてば！！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_児嶋だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
サルは食べごろ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_春はあけぼのな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
シャンプーしてるときに感じる後ろの気配、なんなんすかね。　　　　　　　　　　　　　　　　　　　　　　_あれはねぇ、リンスがスタンバイしてる気配ですよ。　　　　　　　　　　　　　　　　　　　　　　　　　　
諦めない事。それを人生のライフルワークにしてください　　　　　　　　　　　　　　　　　　　　　　　　_ライフワークだわ！なぁ、なんだライフルワークって。なんだ打つのか？　　　　　　　　　　　　　　　　　
あの時諦めていたらと考えると、朝も起きられません。　　　　　　　　　　　　　　　　　　　　　　　　　_朝は起きろよ！夜も寝られませんだ、そこは。6時に起きろ、6時に。　　　　　　　　　　　　　　　　　　
出所の日が決まったら、ポケベルを鳴らしてください。　　　　　　　　　　　　　　　　　　　　　　　　　_ポケベルまだ持ってたんだ！鳴らし方忘れたわ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　
叩くなよ、かけがえのない俺だぞ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_自分で言うなよ。それはこっちが決めんだよ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
昼、ラーメン食おうぜ。俺、とりあえず麺打つから出汁取るのお願いな。　　　　　　　　　　　　　　　　　_いや、1からかい。昼終わるわ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
僕にはやる気があります！だからどうか、定時で帰らせてください！　　　　　　　　　　　　　　　　　　　_本気でやる気あるんか。何を懇願してんねん。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
昔は俺もヤンチャしてたなぁ。窓際族なんて呼ばれたりしてさ。　　　　　　　　　　　　　　　　　　　　　_何を誇らしげに回想してんねん。誇るな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
大島？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　 _児島だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
木島さん？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_児島だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
青島さん？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_児島だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
大島さんですよね？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_児島だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
日帰り地球一周ツアーはどうですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_月かよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
ここで立ち話もなんですから、フッ、USJでも行きますか。　　　　　　　　　　　　　　　　　　　　　　_どこ連れて行くねん、おい！デート行くんちゃうねんぞ！                        
小鳥のさえずりは最高の目覚まし時計だ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_お前いつも母ちゃんに電話で起こして貰ってんだろうが。　　　　　　　　　　　　　　　　　　　　　　　　
午後三時、今日も一日が始まる。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_いつまで寝てんだよ！お前。早く起きろよ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
エレベーターなしの30階建です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　_設計ミスじゃねか！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
死に化粧をし、耳と鼻に綿を詰められ、鼻の中にはもち米と高麗人参を詰められています　　　　　　　　　　_サムゲタンかよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
このミックスピザのトッピングで指ってありますか？　　　　　　　　　　　　　　　　　　　　　　　　　　_指じゃねーよ。エビな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
